"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"M02PTH";"1X02";"BL, JP4, SP";"Header 2";"";
"1";"";"M06SIP";"1X06";"JP2";"Header 6";"";
"6";"";"PINHD-1X1";"1X01";"B7, BEEPER, GND, S1, SGND, SUPPLY";"PIN HEADER";"";
"3";"";"PINHD-1X2";"1X02";"LTRXD, MTRD, TRXD";"";"";
"1";"";"PINHD-1X3";"1X03";"X123";"PIN HEADER";"";
"1";"";"PINHD-1X4";"1X04";"D0123";"";"";
"1";"0.033u";"C-USC1206";"C1206";"C11";"CAPACITOR, American symbol";"";
"7";"0.1u";"C-USC1206";"C1206";"C1, C5, C9, C10, C14, C16, C17";"CAPACITOR, American symbol";"";
"1";"10000p";"C-USC1206";"C1206";"C19";"CAPACITOR, American symbol";"";
"2";"100K";"R-US_R1206";"R1206";"R3, R17";"RESISTOR, American symbol";"";
"7";"10K";"R-US_R1206";"R1206";"R2, R4, R5, R7, R18, R19, R24";"RESISTOR, American symbol";"";
"1";"10R";"R-US_R1206";"R1206";"R12";"RESISTOR, American symbol";"";
"1";"10p";"C-USC1206";"C1206";"C6";"CAPACITOR, American symbol";"";
"3";"10u";"CPOL-USA/3216-18R";"A/3216-18R";"C2, C3, C4";"POLARIZED CAPACITOR, American symbol";"";
"1";"12MHz";"7A";"2-SMD";"Q1";"";"";
"1";"150R";"R-US_R1206";"R1206";"R6";"RESISTOR, American symbol";"";
"3";"1K";"R-US_R1206";"R1206";"R8, R10, R16";"RESISTOR, American symbol";"";
"1";"220u";"CPOL-USCT7343";"CT7343";"C15";"POLARIZED CAPACITOR, American symbol";"";
"1";"22K";"R-US_R1206";"R1206";"R20";"RESISTOR, American symbol";"";
"2";"22p";"C-USC1206";"C1206";"C7, C8";"CAPACITOR, American symbol";"";
"3";"2K2";"R-US_R1206";"R1206";"R1, R15, R21";"RESISTOR, American symbol";"";
"1";"2N7002";"NMOSSOT23";"SOT-23";"T2";"MOS FET";"";
"1";"3900p";"C-USC1206";"C1206";"C18";"CAPACITOR, American symbol";"";
"1";"470K";"R-US_R1206";"R1206";"R9";"RESISTOR, American symbol";"";
"1";"470R";"R-US_R1206";"R1206";"R22";"RESISTOR, American symbol";"";
"1";"470p";"C-USC1206";"C1206";"C13";"CAPACITOR, American symbol";"";
"2";"47K";"R-US_R1206";"R1206";"R13, R23";"RESISTOR, American symbol";"";
"1";"4K7";"R-US_R1206";"R1206";"R14";"RESISTOR, American symbol";"";
"1";"560K";"R-US_R1206";"R1206";"R11";"RESISTOR, American symbol";"";
"1";"ATMEGA328P";"MEGA8-AI";"TQFP32-08";"IC1";"MICROCONTROLLER";"";
"4";"BAT81V";"DIODE-SOD123";"SOD123";"D1, D3, D4, D5";"DIODE";"";
"5";"BC846ASMD";"BC846ASMD";"SOT23";"TR1, TR2, TR3, TR4, TR5";"NPN Transistor";"";
"1";"ICSP";"PINHD-2X5";"2X05";"JP1";"PIN HEADER";"";
"1";"LE33CZ";"XC63FPM";"SOT23";"IC2";"Positiv Voltage Regulators";"";
"1";"LM386M";"LM386M-1";"SO08";"IC3";"Low Voltage Audio Power Amplifier";"";
"1";"REG1117";"REG1117";"SOT223";"IC4";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
