"Part";"Value";"Device";"Package";"Description";"";
"+5V";"PIN3";"PINHD-1X1";"1X01";"PIN HEADER";"";
"+UB";"PIN1";"PINHD-1X1";"1X01";"PIN HEADER";"";
"BEEPER";"PIN14";"PINHD-1X1";"1X01";"PIN HEADER";"";
"BL";"PIN4";"PINHD-1X1";"1X01";"PIN HEADER";"";
"C1";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C3";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C6";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C7";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C9";"100u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C10";"100u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C11";"22n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C12";"47n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C13";"330p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C14";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C15";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C16";"47u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C17";"10p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C18";"4n7";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"47n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C21";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C22";"22p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"BAT42";"BAT42";"SOD123";"Schottky Diodes";"";
"D2";"BAT42";"BAT42";"SOD123";"Schottky Diodes";"";
"D3";"BAT42";"BAT42";"SOD123";"Schottky Diodes";"";
"D4";"BAT42";"BAT42";"SOD123";"Schottky Diodes";"";
"D5";"BAT42";"BAT42";"SOD123";"Schottky Diodes";"";
"DB0";"PIN6";"PINHD-1X1";"1X01";"PIN HEADER";"";
"DB1";"PIN7";"PINHD-1X1";"1X01";"PIN HEADER";"";
"DB2";"PIN8";"PINHD-1X1";"1X01";"PIN HEADER";"";
"DB3";"PIN9";"PINHD-1X1";"1X01";"PIN HEADER";"";
"GND";"PIN2";"PINHD-1X1";"1X01";"PIN HEADER";"";
"J1";"";"M06SIP";"1X06";"Header 6";"";
"J2";"";"M06SIP";"1X06";"Header 6";"";
"LRXD";"PIN18";"PINHD-1X1";"1X01";"PIN HEADER";"";
"LTXD";"PIN19";"PINHD-1X1";"1X01";"PIN HEADER";"";
"MRD";"PIN12";"PINHD-1X1";"1X01";"PIN HEADER";"";
"MTD";"PIN13";"PINHD-1X1";"1X01";"PIN HEADER";"";
"PB7";"PIN5";"PINHD-1X1";"1X01";"PIN HEADER";"";
"Q1";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"Q2";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"Q3";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"Q4";"2N7002";"NMOSSOT23";"SOT-23";"MOS FET";"";
"Q5";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"Q6";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";
"Q7";"2N7002";"NMOSSOT23";"SOT-23";"MOS FET";"";
"R1";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R3";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R6";"150";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R7";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R8";"560k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R9";"47k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R10";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R11";"10";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R12";"470k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R13";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R14";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R15";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R16";"1k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R17";"22k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R18";"2k2";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R19";"470";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R20";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R21";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R23";"0";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R24";"0";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R25";"47k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"RXD";"PIN15";"PINHD-1X1";"1X01";"PIN HEADER";"";
"SGND";"PIN17";"PINHD-1X1";"1X01";"PIN HEADER";"";
"SP+";"PIN10";"PINHD-1X1";"1X01";"PIN HEADER";"";
"SP-";"PIN11";"PINHD-1X1";"1X01";"PIN HEADER";"";
"TXD";"PIN16";"PINHD-1X1";"1X01";"PIN HEADER";"";
"U1";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"U2";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"U4";"LM386N-1";"LM386N-1";"DIL08";"Low Voltage Audio Power Amplifier";"";
"U5";"MEGA8-PDIL-28-3-SIMON";"MEGA8-PDIL-28-3-SIMON";"DIL28-3-SIMON";"MICROCONTROLLER";"";
"X1";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"X2";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"X3";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"Z1";"12MHz";"CRYSTALHC49US";"HC49US";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";
